IN,TARGET,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,LabelAppeal,AcidIndex,STARS
11842,3.648685708,5.6,-0.085,-1.16,6.8,0.042,-80,84,0.98964,3.23,0.11,4.4,0,1.791759469,2
11853,4.329351477,4.7,0.28,0.34,1.6,0.028,32,118,0.9901,2.29,1.66,15.4,0,2.079441542,3
11857,4.593711506,6.8,0.27,0.32,1.5,-0.12,88,142,0.9921,3.14,1.26,12.1,0,1.945910149,3
11858,1.096747803,-0.8,0.55,0.66,50.1,0.699,-244,37,0.9982,2.09,-0.29,9.6,0,2.397895273,1
11860,4.829420287,6.5,-0.05,0.32,-47.8,0.045,-93,-199,1.02239,4.44,-0.68,6.7,1,1.945910149,3
11867,3.062712478,7,-0.65,1.74,5.4,0.355,30,-152,1.02766,3.15,1.23,12.5,0,2.079441542,2
11868,5.726863984,7.1,-1.91,0.88,22.7,0.03,-31,126,0.9901,3.22,0.34,12.1,0,2.079441542,4
11871,4.527404973,6.4,0.26,-0.33,29.5,0.213,33,109,0.992,3.15,0.84,12.7,0,1.945910149,3
11875,2.907083222,7.5,-0.93,1.46,19.9,0.057,131,154,1.01621,4.28,1.51,10.5,2,2.079441542,1
11881,5.285772923,7.5,0.33,-1.16,-18.85,0.032,197,243,0.96399,3.55,0.4,14.1,2,2.079441542,3
11890,4.798448543,6.8,0.8,0.35,61.3,0.433,-166,96,0.98779,3.23,-0.72,8.1,1,1.945910149,3
11892,4.670751668,5.5,0.84,0.13,1.3,0.52,45,-12,0.99184,3.26,0.38,10.7,0,1.791759469,3
11894,2.486622763,4,0.64,0.31,44.7,0.083,7,49,1.03133,3.17,1.67,8.3,-1,2.079441542,2
11896,3.459165614,12.6,0.34,1.74,4.7,0.029,34,148,1.01514,4.93,1.56,14.1,1,2.079441542,2
11903,3.30882196,17.6,0.28,0.42,-30,0.045,41,169,0.9959,3.17,0.9,10.6,1,2.197224577,2
11905,4.215515917,6.6,0.29,-0.67,-40.4,0.036,38,318,0.97615,3.17,0.42,13.7,-1,1.945910149,3
11907,1.943282329,7.5,0.63,-0.87,1.2,0.332,-128,503,0.95022,3.37,1.17,13.6,0,2.079441542,1
11909,6.456542271,7.3,0.14,-0.51,-1.7,0.032,-85,-490,0.98242,3.32,0.44,12.66666667,2,1.945910149,4
11911,2.209437148,-15.4,0.25,-1.23,8.05,-0.297,118.5,216,1.03861,3.55,-0.05,2.9,0,1.945910149,1
11915,1.733638589,6.8,0.21,0.66,29.7,0.216,24,126,0.99234,3.39,1.06,10.9,-1,1.945910149,1
11918,2.333405311,10.4,1.22,0.55,3.2,-0.094,300,54,0.9996,4.3,0.75,6.9,0,2.397895273,2
11920,5.759137679,13.1,-0.23,0.39,1.5,0.129,187,83,0.99076,2.96,1.78,10.7,0,1.945910149,4
11923,4.367547993,6.8,1.57,-0.33,1.8,0.033,297,-149,1.00288,3.64,1.95,15.2,0,1.945910149,3
11924,2.325035774,6.3,0.39,-2.3,65.7,0.048,325,442,1.03125,3.24,0.47,10.4,0,1.945910149,1
11926,1.118941893,7.6,0.4,1.44,46.1,0.096,109,373,0.9983,3.32,0.45,10.2,-2,2.079441542,1
11931,2.911160978,10.1,1.91,0.69,11.3,0.078,61,318,1.02522,2.15,1.37,9,0,2.079441542,2
11933,4.414485696,17.4,-0.75,0.39,-53.2,0.247,-98,451,0.99893,3.98,0.43,14.4,0,2.079441542,3
11940,4.199555519,5.4,0.31,1.74,3,0.053,46,464,0.98923,3.29,0.76,10,1,1.791759469,2
11951,2.41035814,14.4,1.46,-0.65,11.3,-0.137,277,304,0.9984,2.22,0.43,9.2,1,2.079441542,1
11953,1.769213518,9.6,0.23,0.25,-4.8,0.093,19,-17,1.09983,3.1,0.67,8.7,0,2.079441542,1
11973,4.576077569,6.9,0.61,0.21,15.7,0.056,280,63,1.03527,2.51,0.45,13.4,0,1.945910149,3
11984,2.213456931,5.2,0.17,0.27,0.7,0.03,216,411,1.01311,3.3,2,15.7,-1,1.791759469,1
11985,3.074631485,1.5,-0.35,-1.09,58.2,0.042,25,256,0.99695,3.35,-0.32,10.4,-1,1.945910149,2
11991,2.016617008,-6.1,0.26,-0.14,8.1,-0.356,366,197,0.99558,1.98,0.48,9.5,-1,1.945910149,1
12002,2.352612587,-1.5,2.17,0.11,-18.85,0.039,182,162,1.01309,2.74,0.5,11.2,0,1.791759469,1
12006,2.670994952,1.2,0.45,0.27,4.7,0.035,17,187,1.01322,3.12,0.45,12.5,-1,2.079441542,2
12008,4.948081223,5.4,0.3,-0.23,21.7,0.029,25,93,0.96295,3.31,0.4,16.3,0,1.791759469,3
12013,1.595297288,-3.2,0.24,0.42,-27.6,0.087,112,262,0.9979,1.96,0.42,8.9,-1,2.079441542,1
12015,4.397790199,-5.7,-0.41,-1.31,72.4,-0.317,37,388,1.01658,3.06,-0.92,13.5,-1,1.945910149,3
12016,4.639724136,6.3,1.5,-0.02,-97.9,-0.254,54,518,0.9579,3.16,0.42,14.6,0,1.945910149,3
12023,3.340421267,6.8,-0.72,0.02,1.7,0.048,18,-331,0.98595,3.36,0.63,5.8,0,1.945910149,2
12029,2.303334754,6.1,-0.25,-0.78,3.9,0.034,42,348,1.037,3.24,0.46,10.9,0,1.945910149,1
12036,2.786102447,-0.5,0.81,-0.2,64.9,-0.051,-161,179,0.99683,4.1,1.75,18.6,0,2.197224577,2
12038,2.771207445,6.5,0.17,0.54,8.5,0.082,64,397,0.9959,1.99,0.39,8.8,1,1.945910149,1
12041,3.628151416,7.3,-0.11,-1.02,-37.8,0.034,140,147,0.99085,3.25,1.24,11.9,1,2.079441542,2
12049,3.472164527,7.2,-0.82,0.2,9.9,0.565,21,174,1.03455,2.51,2,6,1,2.079441542,2
12050,1.946442589,17.3,2.11,0.02,1.3,0.072,-226,-259,0.9965,3.1,1.08,9.2,1,2.079441542,1
12054,2.682687908,14.1,0.24,0.34,2.7,0.356,282.5,218.5,0.9934,3.3,0.58,9.7,1,1.945910149,1
12060,2.613224436,15.9,-0.63,0.36,2.4,-0.177,-181,-185,0.9975,4.13,1.78,11,-1,2.079441542,2
12062,5.300812555,16.9,-1,0.35,22.2,0.045,51,279,0.9933,1.81,0.44,15.2,1,1.945910149,3
12065,1.859477869,6.2,1,1.42,1,-0.386,158,213,0.99032,3.54,-0.21,11.3,-1,1.945910149,1
12079,3.914832945,17.6,0.38,0.2,5.3,0.703,57,181,0.9792,3.24,0.96,4.5,-1,1.945910149,3
12083,6.372325915,-2,-0.67,0.28,6.3,0.04,24,359,0.9903,3.04,0.64,14.6,1,1.945910149,4
12090,4.260924361,-5.7,0.23,0.28,-40.8,0.062,276,174,0.94936,3.23,0.72,10.6,1,1.791759469,2
12091,3.619938236,7.6,0.21,0.6,2.1,-0.517,47,45,0.98808,3.05,0.54,6.5,1,2.079441542,2
12094,4.452307444,6,0.34,1.76,25.9,0.046,-201,409,0.9979,3.14,2.2,8.8,0,1.945910149,3
12099,3.443584507,12.8,-1.95,0.38,1.2,-0.468,-91,227,0.9924,3.14,-0.49,3.3,0,2.079441542,2
12101,2.28105942,18.5,0.3,-0.32,61.1,0.051,41,-306,0.9761,4.01,0.2,10.5,1,2.079441542,1
12110,2.373717385,2.6,0.39,0.22,2.8,-0.198,16,153,0.96152,1.12,0.36,9.8,0,1.945910149,1
12116,4.878196196,-4.2,0.3,1.78,1.6,0.377,27,-547,0.99438,4.12,0.38,9.8,2,2.079441542,3
12122,4.534178697,11,0.35,0.29,61.3,-0.522,-174,151,0.9912,2.45,0.58,13.6,-1,1.791759469,3
12127,6.469609647,8.2,-2.14,0.6,1.85,0.048,184,491,0.95486,3.79,0.49,5.05,2,2.197224577,4
12133,3.16114229,3.7,0.33,0.64,71.4,0.056,-242,273,0.9972,3.05,-1.58,12.6,0,2.079441542,2
12142,3.517884443,6.6,0.61,0,36.9,0.577,-220,8,0.99396,3.33,0.37,5.8,1,1.945910149,2
12147,4.245367555,17.9,0.27,0.3,30.8,0.04,-208,17,0.99222,3.28,0.53,16.5,0,2.079441542,3
12156,1.884461137,6.6,-0.81,0.25,8,0.036,-117,124,1.01245,3.06,0.05,10.8,-1,1.945910149,1
12157,4.71789465,9.2,1.49,0.33,10.4,-0.361,-30,194,0.96119,2.33,0.58,11.7,1,2.079441542,3
12158,5.517755753,8,0.36,0.43,-33.4,0.293,29,160,0.97192,3.4,0.46,3.2,1,2.197224577,4
12161,4.265194132,17.5,0.23,-0.15,-40.1,0.031,24,98,1.03793,3,0.54,13.4,0,2.079441542,3
12163,4.118487761,3,0.4,-1.25,57.5,0.585,-166,178,0.9955,3.04,0.43,10.9,0,2.079441542,3
12166,1.686393205,20,0.38,0.47,1.1,0.037,23,22,1.00761,3.21,-0.19,10.9,0,2.197224577,1
12170,3.921348745,10.5,-0.54,0.47,13.8,-0.46,273,-36,0.99638,3.23,0.76,16.8,0,2.397895273,3
12174,5.161033098,0.4,-0.58,0.21,2.2,0.029,-26,522,1.02632,3.32,0.47,12.9,1,1.945910149,3
12183,3.325003015,9.8,0.61,0,2.2,-0.16,48,59,0.98065,3.61,2.4,12.9,0,1.945910149,2
12188,4.497907883,0.9,-0.96,-0.59,26.8,-0.561,176,19,0.96363,3.31,3.82,12.6,0,2.079441542,3
12189,4.678607428,6.4,-0.13,0.06,1.8,-0.046,43,477,1.00615,3.42,0.69,11,0,1.945910149,3
12192,2.68708581,1.5,0.28,1.08,1.6,0.045,36,431,0.99534,3.11,0.47,6.2,0,2.302585093,2
12201,3.450684717,5.9,0.17,0.02,-48.9,0.03,32,311,0.98913,0.96,-1.19,8.1,-1,1.791759469,2
12204,0.702533674,12.7,0.23,0.6,2.2,0.565,7,18,0.93792,3.04,0.25,16.3,-1,2.48490665,1
12207,2.196616999,9.3,0.005,1.87,-27.2,0.07,27,39,1.01673,3.12,0.59,9.9,-1,2.302585093,2
12208,1.215097582,8.9,0.48,0.97,3.5,-1.012,10,40,0.9944,3.1,0.36,9.8,-1,2.302585093,1
12209,2.725480978,7.3,2.695,0.33,1.1,0.044,14,-325,0.99012,3.1,0.39,12.4,0,2.079441542,2
12210,6.346709271,7.6,0.42,-0.82,1.9,0.047,-165,432,0.9937,3.2,0.53,13.9,2,2.079441542,4
12217,2.746444934,7.1,0.05,0.25,1.3,-0.055,-100,524,0.99361,3.27,0.55,8,-1,2.079441542,2
12227,4.524638555,8.6,0.29,1.96,32.5,0.427,288,120,1.01362,3.06,1.04,12.1,0,1.945910149,3
12231,4.172781849,6.2,0.25,1.01,-30,-0.278,272,113,1.05319,4.09,0.34,12.8,-1,1.945910149,3
12232,3.307943351,7.6,0.17,1.1,7.1,0.05,227,228,0.99422,1.88,-1.11,9.5,0,2.079441542,2
12239,5.32867346,3.9,0.275,1.45,5.4,0.118,-119,245,0.9926,2.96,-0.79,10.8,1,1.791759469,3
12240,1.567362203,7.3,-0.96,1.02,7.4,0.061,-23,-380,0.99627,3.31,0.05,13,-1,2.079441542,1
12251,2.879187146,14,0.19,0.3,31.9,-0.245,33,-275,0.98902,4.08,1.44,12.8,-1,1.945910149,2
12256,3.76111681,6.3,1.12,0.32,4.2,0.021,179,117,0.99182,3.93,0.43,12.8,1,1.945910149,2
12261,2.73396351,10.2,0.05,1.84,2.4,0.075,287,281,0.98623,2.36,2.19,24,0,2.397895273,2
12263,2.036601871,8.4,0.23,0.32,13.4,0.124,35,363,0.98814,3.12,0.47,8.8,-2,2.197224577,2
12266,2.210797939,8.6,0.55,0.35,15.55,0.102,35.5,248.5,0.97988,3.91,0.15,11,-1,2.302585093,2
12267,2.273977532,6.7,1.33,-1.12,1.35,-0.532,30.5,544,0.99388,3.54,0.53,9.5,0,1.945910149,1
12268,3.185033528,4.2,0.34,0.27,-30.8,0.047,21,144,0.98741,2.34,0.76,14.7,0,2.079441542,2
12279,4.481138902,-4.1,-0.21,0.29,64.7,0.051,25,-103,1.08705,4.27,1.62,6.3,1,2.079441542,3
12280,2.266486051,10.7,0.6,0.49,34,0.1,5,-381,0.96947,3.25,0.69,11.9,1,2.63905733,2
12283,1.808043464,8,-0.83,0.44,-13.9,0.284,-18,111,0.99158,3.09,0.32,11.2,0,2.197224577,1
12284,5.463327243,13,-0.65,0.57,0.6,0.373,6,20,0.99652,3.4,0.48,13.3,1,2.302585093,4
12285,6.213689213,7.1,0.15,0.44,6,0.033,8,135,0.98327,3.19,0.4,13.9,1,1.945910149,4
12286,4.91236732,6.3,0.79,0.3,2.8,0.239,33,125,1.03088,3.03,0,14.7,1,1.945910149,3
12292,4.014174351,14.3,-1.1,1.04,14,0.032,47,365,0.98003,4.44,0.5,9.5,1,1.945910149,2
12295,3.507657756,16,0.29,-2.88,2.3,-0.129,20,509,1.03432,2.71,0.41,12.7,0,1.945910149,2
12301,3.371193571,11.8,0.52,0.17,-32.8,0.047,5,26,0.9932,3.26,0.92,16.5,0,1.945910149,2
12314,1.527074622,1.6,0.19,0.32,18.75,0.356,106,517,1.00014,2.06,1.69,6.5,-1,2.079441542,1
12315,2.538983208,10.3,-0.81,0.24,17.2,0.072,15,-176,0.9956,3.22,0.66,12.8,0,2.397895273,2
12318,1.607727626,8,0.32,0.16,-60,0.4,3,31,0.99454,3.22,0.58,11.2,0,2.197224577,1
12332,5.00450275,1.5,-1.1,1.31,-15.6,0.063,125,164,0.96573,3.17,-0.41,12.1,1,2.079441542,3
12334,3.341476041,6.9,-0.18,-1.15,1.5,0.224,19,-142,0.9958,3.91,0.78,14.4,0,1.945910149,2
12337,2.970127437,7.4,1.08,-0.08,8.8,0.027,23,341,0.9931,4.76,1.58,11.4,0,2.079441542,2
12338,4.533432849,7.1,1.15,1.16,30.7,0.109,30,124,0.97275,3.77,0.43,5.5,1,2.079441542,3
12349,4.8531272,7.5,0.47,-0.55,-55.6,0.048,275,89,0.99182,3.54,2.29,13.56666667,0,1.791759469,3
12350,4.135963971,-5.9,-0.29,0.3,12.4,-0.142,-98,168,0.99728,4.15,0.47,9.5,-1,1.945910149,3
12359,5.831856084,7,1.94,-0.52,-46.2,-0.555,28,181,0.9983,3.18,-1.03,9.3,1,2.079441542,4
12360,5.16198295,6.8,0.3,0.22,38.9,-0.523,41,521,0.96149,3.58,1.39,9.2,1,1.945910149,3
12373,3.863181146,-2.3,0.21,0.4,7.3,0.041,262,123,1.00673,2.64,0.43,6.5,1,1.945910149,2
12374,3.064840153,6.7,-1.07,1.41,-47.6,0.037,-1,310,1.01979,3.06,1.83,9.1,-1,1.945910149,2
12380,3.210099806,8.1,0.26,-0.94,10.1,0.05,-183,375,0.99724,3.69,2.06,9,1,2.197224577,2
12382,2.975537171,6.2,0.44,-1.43,7.7,0.096,292,242,1.01874,3.56,0.72,11.1,-1,1.945910149,2
12383,2.883054575,17.9,0.4,0.21,45.5,-0.372,44,182,1.04823,3.35,0.54,3.6,-1,1.945910149,2
12390,3.533277691,7.4,0.44,0.17,-1,0.045,44,157,0.998,3.82,0.44,12.3,1,2.079441542,2
12398,3.71392478,6.5,0.27,1.12,-49.2,0.142,-104,175,0.99364,3.61,1.58,10.1,1,1.945910149,2
12405,3.506807751,6.4,0.18,0.77,-18.1,-0.059,24,90,0.9963,3.35,-2.82,9.4,0,1.945910149,2
12407,2.135989197,-0.4,1.41,1.64,-2.6,-0.266,-75,-31,0.9984,3.51,-0.15,15.8,0,1.945910149,1
12410,6.392176187,9.2,0.095,0.19,1.6,0.039,526,-170,1.06481,4.17,0.41,6,1,1.791759469,4
12418,5.305160701,16.4,0.3,0.29,6.2,0.172,-200,95,0.99071,3.03,1.86,12.9,2,1.945910149,3
12421,4.313180696,7.4,0.42,0.47,14.15,0.667,6,185,1.01521,2.8,0.63,9.3,1,2.197224577,3
12422,2.431166523,11.9,0.39,0.41,-11.7,0.062,19,503,0.99628,3.04,0.95,9.4,1,2.079441542,1
12439,3.538024762,-4.2,0.695,-0.64,6.8,0.049,-172,-59,0.99432,3.44,-1.89,3.6,0,1.791759469,2
12444,3.568261876,6.1,-1,0.38,-21.1,0.111,-118,106,0.94323,3.03,0.41,12.1,0,1.945910149,2
12463,6.119486115,5.8,0.32,0.28,4.3,0.032,286,115,0.98946,3.16,1.35,15.3,0,1.791759469,4
12465,2.340076762,11.9,-0.95,0.01,4.9,0.911,31,153,0.9966,3.27,0.51,3.4,-1,2.197224577,2
12470,4.272521984,14.9,0.15,0.34,61.5,0.035,31,-15,0.99096,3.14,0.03,9.7,0,2.079441542,3
12471,3.312917336,-5.1,0.21,-0.82,7.3,0.081,34,126,0.9962,2.86,0.46,3,0,1.945910149,2
12480,4.023262599,8.5,-1.16,0.48,2.3,0.58,146,-275,1.03556,3.25,0.37,11.9,0,2.197224577,3
12482,4.410512263,2.4,-0.22,0.4,-35.45,0.041,35,-346,0.98916,3.11,1.93,6.7,0,1.945910149,3
12484,2.628742738,8.6,0.32,0.29,9.4,0.038,-175,282,1.00607,3.35,0.55,10.8,-1,2.079441542,2
12487,4.325907147,-2.4,0.52,0.11,2.9,0.605,13,38,0.95725,3.34,2.47,9.3,0,1.945910149,3
12491,2.693846195,7.4,0.64,0.76,31.15,0.034,42,163,0.9984,2.9,0.49,-3.1,0,2.197224577,2
12503,4.867816121,8.8,1.32,0.44,33.4,0.042,138,-235,1.00065,3.02,-0.61,13.2,0,2.302585093,4
12507,2.161661764,6.8,0.36,-2.81,5.1,0.227,67,122,0.97606,3.13,2.36,12.6,0,1.945910149,1
12526,1.748948596,12.5,0.39,-0.44,3.3,0.046,109,81,1.03558,3.27,0.56,12.2,-1,1.945910149,1
12533,2.306748257,3.9,-1.04,0.46,42.5,0.477,44,177,0.99691,3.36,0.24,9.4,0,1.945910149,1
12540,4.34664654,-1,0.785,-0.15,2.1,0.459,6,168,0.99664,3.59,0.62,7.7,0,1.945910149,3
12543,1.773914886,2.6,1.27,-0.8,12.5,0.602,38,3,0.95272,3.33,1.45,4.9,-1,1.791759469,1
12552,3.326070937,13.4,0.695,-0.05,19.4,0.118,12,117,0.98977,2.23,0.67,8.8,0,1.945910149,2
12555,5.423766098,6.4,0.29,0.18,15,0.588,-191,321,0.94721,0.9,0.5,9.2,2,1.945910149,3
12556,4.097379696,8,1.64,0.13,17.2,0.036,49,-238,0.9996,1.78,-0.43,9.7,0,2.079441542,3
12570,4.363502095,-6,1.26,-0.93,30.6,-0.34,218,61,0.99143,4.47,2.23,5.3,0,1.945910149,3
12579,2.735780857,11.7,1.5,0.38,77.4,0.054,32,445,1.0002,3.22,1.56,9.7,0,2.197224577,2
12588,1.792308877,6,0.89,1.46,9.4,0.042,87,-253,0.98952,1.65,0.41,18.4,-1,1.945910149,1
12600,3.760386193,-0.1,0.3,-0.99,35.7,0.04,24,29,0.9939,2.55,0.58,5.5,1,1.945910149,2
12615,5.385547272,5.6,0.34,0.02,6.9,0.038,192,89,0.99266,4.85,-1.14,16,1,1.791759469,3
12624,3.414119973,6.3,-0.58,0.24,7.2,0.082,77,47,0.9958,4.66,0.64,10.6,0,1.945910149,2
12629,4.578230622,-5.5,-0.85,-0.86,1.6,0.054,353,-173,0.99727,4.51,0.75,15.7,-1,1.791759469,3
12634,1.963079622,10,0.23,1.47,20.1,0.615,-28,142,1.001,1.48,0.43,9.7,-1,2.397895273,2
12638,1.930360094,7.1,-0.21,0.45,-34.9,-0.072,53,17,0.96291,2.66,2.22,3.7,0,2.079441542,1
12646,2.015568634,-1.9,0.51,0.24,-62.3,0.079,16,86,0.99764,3.34,2.16,9.5,1,2.197224577,1
12650,1.138014949,4.6,1.03,0.65,11.2,0.075,6,17,1.03341,3.22,0.51,11.8,0,2.397895273,1
12665,1.620113779,-0.4,2.38,0.29,16.85,0.605,5,135,0.95,3.04,-0.64,6.7,0,2.079441542,1
12674,2.862265434,-4.1,0.22,1.7,19.8,0.214,17,-100,0.97165,3.6,0.23,9,-1,1.945910149,2
12676,1.286715009,19.4,0.6,0,-11.3,0.058,24,10,0.9977,3.18,2.04,3.8,0,2.302585093,1
12678,1.69304492,16.2,0.24,0.47,10.5,0.057,-20,234,0.9959,3.28,0.66,8.8,0,2.197224577,1
12685,2.105476421,7.3,-1.01,-1.89,-43.6,0.894,-484,368,0.99606,5.38,0.47,2.1,1,2.079441542,1
12690,2.700109321,6.5,-2.06,0.39,1.9,-0.502,-81,504,0.99566,4.29,0.43,15.8,0,1.945910149,1
12698,4.234557869,3.4,-1.54,0.2,2.2,-0.462,551,48,1.01085,2.99,0.03,16.3,0,1.791759469,2
12702,3.50905405,4.2,1.74,0.31,0.9,0.144,23,-115,0.993,4.37,0.77,11.4,1,1.945910149,2
12704,2.267048992,6.4,0.16,0.44,35,0.051,39,122,0.96888,3.11,0.75,11.3,0,1.945910149,1
12705,1.722847642,7,1.38,-0.06,58.8,0.556,-150,126,0.99058,3.31,0.47,16.4,0,2.079441542,1
12710,4.187869629,3.4,0.45,1.83,-26.9,-0.186,24,84,0.9909,3.89,0.36,18.3,-1,1.945910149,3
12715,4.857384906,6.5,0.29,0.31,1.7,1.091,240,79,1.00774,3.27,-0.57,11.4,1,1.945910149,3
12720,2.863907903,8.2,0.26,-0.59,38.1,-0.261,7,86,0.9944,4.34,0.62,10.2,0,2.197224577,2
12734,1.411804842,15.7,1.56,0.03,8.8,0.638,27,-313,0.99592,3.64,1.91,3.5,0,2.079441542,1
12744,3.425908873,6.7,-0.53,1.38,-2.4,0.213,29,81,0.99151,2.57,0.39,6.3,0,1.945910149,2
12747,3.239819402,2.3,-0.17,0.58,2,0.076,15,-468,0.9973,3.35,-0.45,4.1,0,1.945910149,2
12757,4.750085155,16.2,0.53,-0.67,71,0.054,25,139,0.99836,3.53,1.38,21.2,1,2.079441542,3
12758,1.147197021,18.6,-0.14,0.74,24.2,-0.644,-255,252,0.9998,3,1.81,9.2,-2,2.079441542,1
12766,2.753854289,2.6,-0.42,3.38,61.1,0.061,9,166,0.99416,3.28,0.49,10,-1,2.079441542,2
12782,2.745958651,7.6,-0.16,1.56,104.9,0.506,52,151,0.90565,3.18,-0.4,7.3,-1,2.079441542,2
12787,2.786439725,13.2,0.35,-0.84,-28.2,0.368,47,87,1.02302,2.92,0.7,12.2,0,2.197224577,2
12799,1.589913283,8.8,0.24,0.39,1.2,-0.433,32,85,1.00563,3.16,0.5,10.5,-1,2.079441542,1
12804,4.209634883,12.8,0.18,0.26,-33.6,0.023,10,276,0.9893,3.07,0.54,12.3,1,1.791759469,2
12809,2.372831997,7.2,2.52,0.27,2.4,-0.535,-504,149,0.96405,3.1,0.51,9.2,-1,2.079441542,2
12813,2.690391237,7.8,0.25,-0.5,-38.2,0.04,46,133,1.04109,3.14,0.6,15.7,-1,2.079441542,2
12816,2.941427987,9.8,1.78,0.49,15.4,0.046,103,101,1.0004,2.41,0.75,2.8,-1,2.397895273,3
12821,3.761142634,6,0.17,0.22,46.8,0.039,-177,104,0.98359,2.91,0.03,17.2,0,1.791759469,2
12826,2.460223113,6.4,-0.07,0.49,7.5,0.073,-66,151,1.02487,2.18,1.73,8.3,-2,1.945910149,2
12831,3.148854215,-1.4,0.13,0.61,-52.6,0.054,124,104,0.98059,3.24,2.66,16.2,0,2.079441542,2
12832,3.137630475,5.8,0.39,-0.01,-29.8,0.042,36,138,0.99382,3.95,-1.22,23,1,1.791759469,1
12833,2.98545373,6.7,0.28,-0.45,-23.8,-0.451,-130,111,0.99455,3.25,-1.19,4.7,-1,1.945910149,2
12835,3.300814379,6.5,0.27,0.31,33.8,0.036,-188,179,0.9979,3.39,1.9,13.2,0,1.945910149,2
12842,3.156490611,4.9,0.425,2.53,37,-0.492,318,396,1.01563,2.73,0.57,9,-1,1.945910149,2
12844,3.310292256,6.8,0.18,0.28,92.4,0.047,52,521,1.09641,3.22,0.53,4.3,0,1.945910149,2
12847,1.206849949,8.6,0.34,1.49,-0.1,0.471,11,119,0.95413,3.17,0.47,9.4,-1,2.197224577,1
12852,2.207103924,10.4,0.21,0.7,64.2,0.596,261,142,1.0253,3.12,-0.87,10.1,0,1.945910149,1
12856,3.176920545,7.4,0.08,0.58,48.9,0.022,295,-191,0.9928,3.13,0.01,11.5,0,2.079441542,2
12857,2.624172287,0.4,0.2,0.31,6.85,0.053,-198,211,0.99587,3.31,0.59,10.4,-1,2.079441542,2
12858,6.400822545,5.1,0.25,1.71,7.7,0.508,46,147,0.96977,3.35,0.43,10.3,1,1.791759469,4
12861,1.963630728,7.4,0.16,1.49,52.9,0.056,-185,168,0.99825,2.9,-1.33,8.7,0,2.079441542,1
12869,3.298530569,18.2,-1.27,0.59,22.6,0.147,38,132,0.99333,3.37,-0.27,9.1,0,2.079441542,2
12876,3.762535721,4.7,1.09,-0.66,20.4,-0.541,17,-11,0.94624,4.58,0.6,11.8,2,1.609437912,1
12877,2.5403795,5.7,-0.15,0.15,53.8,0.05,20,360,0.96176,3.31,1.54,2.4,0,1.791759469,1
12879,2.502137783,1.1,0.34,0.6,1.4,0.032,228,392,0.99214,3.07,0.52,9.8,1,2.079441542,1
12882,3.431492523,12.5,-0.52,0.34,1.3,0.469,-61,108,0.99105,3.36,0.45,1.4,1,2.079441542,2
12883,5.406090527,-1.1,0.32,0.41,0.9,-0.094,213,159,0.97521,3.09,1.54,16.36666667,-1,1.945910149,4
12887,1.735850503,9.5,0.49,0.36,2,-0.537,146.5,314.5,0.9924,3.24,-0.9,11,-1,2.079441542,1
12889,2.890515765,-10.9,0.22,0.34,-54,0.526,-73,-127,0.97988,2.96,0.59,4.8,0,2.079441542,2
12891,5.357179076,6.8,0.17,1.31,3.8,0.039,3,530,0.99243,3.28,1.44,10,1,1.791759469,3
12894,4.060069976,6.5,0.18,-1.02,1.7,-0.213,30,-182,1.02005,3.49,0.3,10.2,-1,1.945910149,3
12895,1.914508863,16.6,0.68,0.37,1.6,0.049,19,193,1.02612,3.16,0.48,13.8,0,2.079441542,1
12899,4.12972008,-14.1,0.24,0.89,-106.9,-0.12,218,467,0.95367,3.24,-2.46,9,1,1.945910149,2
12905,6.460997474,6.5,0.94,0.06,17.1,0.128,29,44,0.99489,3.31,1.46,14,2,1.945910149,4
12913,4.497591133,4.4,0.84,0.18,5.8,0.043,32,443,1.04291,3.52,0.66,12.3,0,1.945910149,3
12916,4.389924044,6,1.01,1.92,50.6,0.408,171,149,0.9937,3.97,0.82,11,0,1.945910149,3
12917,2.150857693,6.6,0.76,-0.04,1.4,0.656,34,421,0.95718,3.17,0.38,10,0,1.945910149,1
12925,3.793338254,6.2,1.49,-0.22,-31.5,0.036,37,-147,0.98938,3.71,3.43,12.8,-1,1.945910149,3
12934,5.247773071,6,-0.77,2.89,6.3,-0.545,143,174,0.97131,3.69,1.21,9.8,1,1.945910149,3
12939,4.268641641,8,0.44,1.1,12.4,0.308,-142,-35,0.9991,3.61,0.64,9.2,1,2.197224577,3
12943,4.071761218,1.7,0.3,0.2,1.1,0.077,48,166,0.9944,4.31,0.54,8.7,1,1.791759469,2
12950,4.665841185,7.7,0.57,0.03,16.8,0.474,-11,211,0.97546,3.08,0.58,14.5,1,2.079441542,3
12961,1.565755158,-11.4,1.29,1.97,24.9,0.066,10,126,1,3.12,1.18,14.5,-1,2.564949357,2
12963,1.808035293,4.4,1.555,0.78,-38.9,0.075,226,415,1.04135,3.49,1.09,9.3,0,2.079441542,1
12973,5.441796979,5.2,-0.99,0,1.8,0.05,-228,51,0.97279,3.68,0.79,18.1,1,1.791759469,3
12979,3.42061523,5.8,1.28,0.27,1.6,0.062,-185,-150,0.99184,2.28,0.81,6.7,0,1.791759469,2
12980,2.363550435,8.3,0.95,0.96,2.6,0.675,235,192,0.96265,3.4,0.53,13.8,-1,2.197224577,2
